Mimicry ring;;All OMUs (n = 783);;;;;;;;;Monomorphic species (n = 139);;;;;;;
;;N OMUs;N pairs;Mean BC obs;Mean null BC;CI 2.5%;CI 97.5%;p-value;pattern;;N OMUs;N pairs;Mean BC obs;Mean null BC;CI 2.5%;CI 97.5%;p-value;pattern
ACRISIONE;;1;0;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA
AGNOSIA;;74;2701;0,913;0,981;0,879;1,088;0,117;convergence;;25;300;0,854;0,987;0,803;1,181;0,083;convergence
AMALDA;;9;36;0,439;0,99;0,673;1,359;0,002;convergence;;2;1;0,643;0,96;0,172;2,105;0,323;convergence
AURELIANA;;12;66;0,657;0,937;0,673;1,245;0,019;convergence;;1;0;NA;NA;NA;NA;NA;NA
BANJANA-M;;43;903;0,673;0,986;0,845;1,135;0,001;convergence;;3;3;0,906;0,981;0,357;1,692;0,434;convergence
CONFUSA;;19;171;0,867;1,018;0,778;1,301;0,125;convergence;;10;45;0,837;0,961;0,658;1,293;0,243;convergence
DERCYLLIDAS;;1;0;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA
DILUCIDA;;35;595;0,366;1,004;0,852;1,181;0,001;convergence;;6;15;0,498;0,96;0,54;1,427;0,015;convergence
DOTO;;12;66;0,616;0,98;0,685;1,274;0,007;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
DUESSA;;3;3;0,823;0,928;0,331;1,66;0,4;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
DUILLIA;;3;3;0,159;0,947;0,35;1,645;0,001;convergence;;3;3;0,15;1,016;0,4;1,788;0,002;convergence
EGRA;;10;45;0,319;0,968;0,654;1,292;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
EURIMEDIA;;33;528;0,947;1;0,829;1,19;0,297;convergence;;17;136;0,931;1,022;0,78;1,289;0,253;convergence
EXCELSA;;17;136;0,588;1,028;0,781;1,29;0,001;convergence;;2;1;0,063;0,925;0,155;2,055;0,004;convergence
HEMIXANTHE;;5;10;0,14;1,011;0,568;1,529;0,001;convergence;;2;1;0,1;1,24;0,201;2,734;0,01;convergence
HERMIAS;;47;1081;0,771;1,016;0,872;1,168;0,001;convergence;;8;28;0,816;0,965;0,601;1,365;0,225;convergence
HEWITSONI;;27;351;0,404;0,974;0,795;1,173;0,001;convergence;;3;3;0,325;0,897;0,316;1,608;0,029;convergence
HUMBOLDT;;1;0;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA
ILLINISSA;;6;15;0,31;0,977;0,57;1,426;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
LERIDA;;63;1953;1,014;0,977;0,854;1,112;0,301;divergence;;21;210;0,993;1,006;0,806;1,224;0,453;convergence
LIBETHRIS;;20;190;0,733;0,948;0,751;1,154;0,019;convergence;;5;10;0,742;0,893;0,514;1,372;0,267;convergence
LYSIMNIA;;4;6;0,481;1,061;0,493;1,704;0,023;convergence;;1;0;NA;NA;NA;NA;NA;NA
MAELUS;;15;105;0,628;1,029;0,779;1,313;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
MAMERCUS;;56;1540;0,867;1,014;0,895;1,143;0,01;convergence;;4;6;0,495;0,998;0,45;1,578;0,037;convergence
MANTINEUS;;5;10;0,286;1,024;0,526;1,544;0,001;convergence;;1;0;NA;NA;NA;NA;NA;NA
MESTRA;;14;91;0,42;0,972;0,723;1,223;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
MOTHONE;;12;66;0,532;0,999;0,71;1,324;0,001;convergence;;1;0;NA;NA;NA;NA;NA;NA
OCNA;;13;78;0,535;0,961;0,698;1,238;0,001;convergence;;2;1;0,344;1,061;0,206;2,23;0,078;convergence
ORESTES;;15;105;0,428;1,02;0,766;1,302;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
OZIA;;16;120;0,62;0,972;0,733;1,217;0,001;convergence;;5;10;0,487;0,954;0,53;1,448;0,013;convergence
PANTHYALE;;38;703;0,574;0,973;0,827;1,122;0,001;convergence;;9;36;0,453;1,023;0,662;1,42;0,001;convergence
PARALLELIS;;7;21;0,478;1,004;0,627;1,44;0,002;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
PAVONII;;2;1;0,63;0,865;0,17;1,88;0,332;convergence;;1;0;NA;NA;NA;NA;NA;NA
POLITA;;9;36;0,583;0,971;0,655;1,325;0,007;convergence;;2;1;1,016;0,89;0,179;1,952;0,36;divergence
PRAESTANS;;1;0;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA
PRAXILLA;;9;36;0,357;0,96;0,633;1,296;0,001;convergence;;1;0;NA;NA;NA;NA;NA;NA
QUINTINA;;6;15;0,349;0,935;0,523;1,356;0,001;convergence;;1;0;NA;NA;NA;NA;NA;NA
SINILIA;;8;28;0,234;0,967;0,628;1,361;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
SUSIANA;;18;153;0,489;0,98;0,742;1,228;0,001;convergence;;1;0;NA;NA;NA;NA;NA;NA
THABENA-F;;10;45;0,502;0,959;0,644;1,276;0,004;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
THEUDELINDA;;8;28;0,098;0,974;0,629;1,351;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
TICIDA-M;;8;28;0,114;0,998;0,653;1,397;0,001;convergence;;NA;NA;NA;NA;NA;NA;NA;NA
UMBROSA;;3;3;0,595;0,892;0,343;1,565;0,177;convergence;;2;1;0,547;0,889;0,148;1,876;0,256;convergence
VESTILLA;;1;0;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA
