"";"ring";"N_units";"N_pairs";"MPD_obs";"mean_MPD";"MPD_2.5";"MPD_97.5";"p_value";"pattern"
"1";"ACRISIONE";1;0;NA;NA;NA;NA;NA;NA
"2";"AGNOSIA";74;2701;31,784;37,16;34,928;39,277;0;"clustering"
"3";"AMALDA";9;36;33,275;37,104;30,327;43,517;0,158;"clustering"
"4";"AURELIANA";12;66;25,939;37,213;31,697;42,859;0;"clustering"
"5";"BANJANAM";43;903;32,787;37,127;34,193;39,974;0;"clustering"
"6";"CONFUSA";19;171;41,67;37,176;32,699;41,654;0,025;"overdispersal"
"7";"DERCYLLIDAS";1;0;NA;NA;NA;NA;NA;NA
"8";"DILUCIDA";35;595;37,864;37,14;33,967;40,138;0,334;"overdispersal"
"9";"DOTO";12;66;31,553;37,152;31,552;42,729;0,025;"clustering"
"10";"DUESSA";3;3;23,002;37,393;23,579;50,981;0,023;"clustering"
"11";"DUILLIA";3;3;20,439;37,415;24,417;48,155;0,018;"clustering"
"12";"EGRA";10;45;30,232;37,213;30,583;43,369;0,023;"clustering"
"13";"EURIMEDIA";33;528;36,452;37,074;33,566;40,189;0,358;"clustering"
"14";"EXCELSA";17;136;43,615;37,025;32,305;41,653;0,001;"overdispersal"
"15";"HEMIXANTHE";5;10;38,464;37,206;27,681;46,539;0,439;"overdispersal"
"16";"HERMIAS";47;1081;41,073;37,129;34,444;39,866;0;"overdispersal"
"17";"HEWITSONI";27;351;30,914;37,117;33,227;40,707;0;"clustering"
"18";"HUMBOLDT";1;0;NA;NA;NA;NA;NA;NA
"19";"ILLINISSA";6;15;32,855;37,302;29,033;45,084;0,157;"clustering"
"20";"LERIDA";63;1953;31,529;37,144;34,774;39,366;0;"clustering"
"21";"LIBETHRIS";20;190;24,444;37,071;32,763;41,437;0;"clustering"
"22";"LYSIMNIA";4;6;48,133;37,373;25,917;48,543;0,033;"overdispersal"
"23";"MAELUS";15;105;42,965;37,132;32,389;42,117;0,008;"overdispersal"
"24";"MAMERCUS";56;1540;40,479;37,246;34,894;39,602;0,003;"overdispersal"
"25";"MANTINEUS";5;10;41,883;37,042;27,626;46,551;0,192;"overdispersal"
"26";"MESTRA";14;91;31,47;37,321;32,281;42,597;0,012;"clustering"
"27";"MOTHONE";12;66;36,728;37,22;31,793;42,728;0,441;"clustering"
"28";"OCNA";13;78;28,457;37,026;31,595;42,333;0;"clustering"
"29";"ORESTES";15;105;41,555;37,127;32,248;42,221;0,05;"overdispersal"
"30";"OZIA";16;120;30,628;37,183;32,688;42,132;0,001;"clustering"
"31";"PANTHYALE";38;703;30,591;37,199;34,053;40,232;0;"clustering"
"32";"PARALLELIS";7;21;39,086;37,394;29,93;45,421;0,339;"overdispersal"
"33";"PAVONII";2;1;12,271;37,314;11,078;52,878;0,028;"clustering"
"34";"POLITA";9;36;29,048;37,128;30,806;43,569;0,011;"clustering"
"35";"PRAESTANS";1;0;NA;NA;NA;NA;NA;NA
"36";"PRAXILLA";9;36;27,626;37,395;30,661;44,486;0,003;"clustering"
"37";"QUINTINA";6;15;22,756;37,264;28,592;45,14;0;"clustering"
"38";"SINILIA";8;28;28,209;37,473;31,015;44,202;0,005;"clustering"
"39";"SUSIANA";18;153;31,503;37,219;32,761;41,624;0,006;"clustering"
"40";"THABENAF";10;45;27,166;37,217;30,94;43,474;0,002;"clustering"
"41";"THEUDELINDA";8;28;30,391;37,113;30,351;44,293;0,028;"clustering"
"42";"TICIDAM";8;28;35,186;37,339;30,189;44,34;0,325;"clustering"
"43";"UMBROSA";3;3;16,834;36,915;21,843;48,056;0,012;"clustering"
"44";"VESTILLA";1;0;NA;NA;NA;NA;NA;NA
